n,z,protonSeparationEnergy(keV)
95,67,5274.0397
96,67,5485.8284
97,67,5888.6306
98,67,6219.3397
99,67,6747.0214
100,67,6983.9591
101,67,7436.7513
102,67,7526.5829
103,67,7930.4752
104,67,8097
105,67,8763
106,67,8880
107,67,9418
108,67,9458
109,67,9949
110,67,9959
74,68,855
75,68,1199
76,68,1849
77,68,1920
78,68,2490.8774
79,68,2658.5583
80,68,3010.867
81,68,3039.4256
82,68,3474.4403
83,68,3609.3695
84,68,4166.4434
85,68,4151.0173
86,68,4881.8712
87,68,4858.7647
88,68,5460.855
89,68,5164.216
90,68,5759.924
91,68,5662.6949
92,68,6023.5273
93,68,6107.8443
94,68,6426.8877
95,68,6415.8211
96,68,6853.5174
97,68,6829.8064
98,68,7315.0984
99,68,7507.8878
100,68,7998.7437
101,68,8150.903
102,68,8600.4752
103,68,8769.2795
104,68,9253.7271
105,68,9459
106,68,9888
107,68,10071
108,68,10620
109,68,10757
110,68,11269
111,68,11239
75,69,-1711.9999
76,69,-1736.0999
77,69,-895.6999
78,69,-1058.6414
79,69,-553.8092
80,69,-250
81,69,38
82,69,229.2616
83,69,742.9595
84,69,761.3623
85,69,1249.4314
86,69,1309.9184
87,69,1914.216
88,69,1786.5672
89,69,2578.5234
90,69,2555.5598
91,69,3028.8878
92,69,3123.5092
93,69,3565.1548
94,69,3683.1734
95,69,4030.5013
96,69,4276.4222
97,69,4654.0965
98,69,4907.943
99,69,5312.094
100,69,5574.394
101,69,6163.122
102,69,6391.7285
103,69,6944.7028
104,69,7062.46
105,69,7499
106,69,7650
107,69,8008
108,69,8228
109,69,8671
110,69,8929
111,69,9379
112,69,9549
78,70,1544
79,70,1854
80,70,2179
81,70,2340
82,70,2787.744
83,70,2728
84,70,3248.4543
85,70,3364.4427
86,70,3928.5875
87,70,3874.4662
88,70,4589.3128
89,70,4419.288
90,70,4881.7939
91,70,4822.1822
92,70,5211.4197
93,70,5105.3671
94,70,5572.729
95,70,5675.416
96,70,5952.6533
97,70,5992.3934
98,70,6325.7212
99,70,6352.1196
100,70,6778.2457
101,70,6800.4751
102,70,7334.1562
103,70,7466.6514
104,70,7977.4245
105,70,8120.0069
106,70,8469.7371
107,70,8904.053
108,70,9397
109,70,9688
110,70,10109
111,70,10207
112,70,10749
113,70,10799
79,71,-1269.5999
80,71,-1240.9653
81,71,-831
82,71,-605.953
83,71,-204.0569
84,71,-98.0656
85,71,485.9068
86,71,463.2513
87,71,1081.2594
88,71,987.9596
89,71,1725.3962
90,71,1688.0935
91,71,2286.482
92,71,2259.2224
93,71,2637.4684
94,71,2719.0479
95,71,3014.57
96,71,3221.5459
97,71,3771.9023
98,71,3791.6316
99,71,4219.6777
100,71,4353.5077
101,71,4718.2288
102,71,4914.5288
103,71,5308.0288
104,71,5510.1288
105,71,5975.7476
106,71,6181.5513
107,71,6640.4473
108,71,6670.845
109,71,7326
110,71,7366
111,71,7971
112,71,8105
113,71,8589
114,71,8649
115,71,9129
81,72,1167
82,72,1643
83,72,1932
84,72,2563.4294
85,72,2444
86,72,2951.5527
87,72,2929.3767
88,72,3519.1092
89,72,3334.8461
90,72,3895.0476
91,72,3726.5322
92,72,4315.9126
93,72,4282.1081
94,72,4705.7125
95,72,4735.7457
96,72,5123.2473
97,72,4933.0346
98,72,5460.3043
99,72,5414.0884
100,72,5862.7371
101,72,5964.6849
102,72,6252.5401
103,72,6200.4421
104,72,6699.7204
105,72,6787.3833
106,72,7340.434
107,72,7414.1266
108,72,8009.434
109,72,8015.453
110,72,8541.1928
111,72,8802
112,72,9072.3097
113,72,9308
114,72,9753
115,72,9969
116,72,10349
117,72,10619
82,73,-1452.9999
83,73,-1019.7972
84,73,-934.5958
85,73,-447.6541
86,73,-374.2715
87,73,260.0647
88,73,128.799
89,73,754.5584
90,73,655.1792
91,73,1302.4558
92,73,1318.4866
93,73,1751.2386
94,73,1781.0464
95,73,2215.1227
96,73,2218.8487
97,73,2709.7461
98,73,2755.3893
99,73,3187.6025
100,73,3283.2828
101,73,3617.9528
102,73,3853.0407
103,73,4172.5874
104,73,4427.2886
105,73,5007
106,73,5211.0615
107,73,5759.5656
108,73,5948.5591
109,73,6316.6979
110,73,6532.8816
111,73,6844.8772
112,73,7183.8894
113,73,7576.7689
114,73,7760.3071
115,73,8199
116,73,8419
117,73,8859
118,73,9009
83,74,978
84,74,1386
85,74,1605
86,74,2178.8872
87,74,1972
88,74,2509.6125
89,74,2416.005
90,74,2989.8923
91,74,2867.4822
92,74,3328.5704
93,74,3284.403
94,74,3830.837
95,74,3812.9245
96,74,4289.3404
97,74,4237.3964
98,74,4665.8837
99,74,4686.3765
100,74,5119.5213
101,74,5180.9999
102,74,5521.9268
103,74,5625.3226
104,74,5981.2915
105,74,5986
106,74,6567.7579
107,74,6589.2851
108,74,7096.0509
109,74,7223.949
110,74,7700.8772
111,74,7837.3894
112,74,8403.2022
113,74,8585.4125
114,74,9061.3014
115,74,9188
116,74,9698
117,74,9745
118,74,10389
119,74,10379
120,74,10889
121,74,10899
84,75,-1599
85,75,-1266.6628
86,75,-1197.2819
87,75,-765.1427
88,75,-707.9928
89,75,-147.0263
90,75,-287.2305
91,75,264.99
92,75,235
93,75,990.6481
94,75,805.2878
95,75,1275.1007
96,75,1248.4514
97,75,1769.7143
98,75,1745.6497
99,75,2234.6841
100,75,2350.1893
101,75,2719.061
102,75,2916.5377
103,75,3240.6977
104,75,3466.2174
105,75,3831.0878
106,75,4170.1399
107,75,4501.1702
108,75,4852.4898
109,75,5143.1278
110,75,5402.5658
111,75,5828.4203
112,75,5996.9173
113,75,6401.8078
114,75,6600.1875
115,75,7063
116,75,7270.5467
117,75,7701.623
118,75,7901
119,75,8359
120,75,8439
121,75,8909
122,75,8900
123,75,9409
85,76,607
86,76,946
87,76,1173
88,76,1711.4416
89,76,1563
90,76,2061.1437
91,76,1950.4962
92,76,2450
93,76,2217.0663
94,76,2805.4156
95,76,2682.2128
96,76,3282.3269
97,76,3160.3826
98,76,3730.4847
99,76,3721.2305
100,76,4131.8437
101,76,4182.5288
102,76,4564.0392
103,76,4655.651
104,76,5060.8567
105,76,5001.5754
106,76,5380.6684
107,76,5506.587
108,76,5731.8737
109,76,5875.0598
110,76,6469.9553
111,76,6580.6659
112,76,7209.7239
113,76,7258.8924
114,76,8017.6995
115,76,8101.1955
116,76,8820.8662
117,76,9094.5439
118,76,9492.5062
119,76,9540
120,76,10006
121,76,10009
122,76,10539
123,76,10569
124,76,11109
86,77,-1900
87,77,-1564
88,77,-1541
89,77,-1151.9999
90,77,-1070.1069
91,77,-543.6589
92,77,-612.6077
93,77,-252
94,77,-224.6904
95,77,371.1065
96,77,313.7861
97,77,636.6577
98,77,688.0986
99,77,1065.5332
100,77,1205.2112
101,77,1586.8368
102,77,1826.4471
103,77,2246.3635
104,77,2395.8086
105,77,2790.6856
106,77,2882.0004
107,77,3236.0664
108,77,3371.9634
109,77,3655.4133
110,77,3838.316
111,77,4414.9115
112,77,4601.3221
113,77,5055.7838
114,77,5289.9723
115,77,5729.3628
116,77,5942.9726
117,77,6426.3465
118,77,6546.113
119,77,7212.8965
120,77,7275.9711
121,77,7920
122,77,8087
123,77,8588
124,77,8579
125,77,9090
126,77,9129
127,77,9589
87,78,124
88,78,476
89,78,737
90,78,1226.6006
91,78,1087
92,78,1494.7573
93,78,1573
94,78,1983.6109
95,78,1846.3561
96,78,2338.1229
97,78,2211.7186
98,78,2828.3787
99,78,2777.485
100,78,3239.0321
101,78,3302.7846
102,78,3637.1271
103,78,3692.9385
104,78,3994.3563
105,78,4010.4853
106,78,4419.3191
107,78,4366.2597
108,78,4817.8607
109,78,4801.9822
110,78,5560.564
111,78,5413.4208
112,78,6145.8225
113,78,6233.6928
114,78,6868.67
115,78,6933.0172
116,78,7512.7679
117,78,7551.0731
118,78,8241.1909
119,78,8273.224
120,78,8928.8662
121,78,8968
122,78,9489.6149
123,78,9460
124,78,10141
125,78,10159
126,78,10539
127,78,10539
128,78,10929
89,79,-1994
90,79,-1933
91,79,-1471.6999
92,79,-1447.9279
93,79,-859.587
94,79,-985.6819
95,79,-590
96,79,-624.9501
97,79,101.2536
98,79,-99.2112
99,79,221.5634
100,79,280.0572
101,79,646.49
102,79,730.2356
103,79,1211.4495
104,79,1312.0382
105,79,1834.4883
106,79,1814.6344
107,79,2315.6832
108,79,2453.3041
109,79,2974.9242
110,79,3049.9596
111,79,3653.1058
112,79,3780.3778
113,79,4362.8188
114,79,4405.2749
115,79,5021.2437
116,79,5095.9304
117,79,5633.8104
118,79,5784.1845
119,79,6449.9892
120,79,6478.7055
121,79,7140.3651
122,79,7090.4987
123,79,7901.2474
124,79,7740.2869
125,79,8169
126,79,8239
127,79,8659
128,79,8689
129,79,9060
130,79,9019
90,80,85
91,80,246
92,80,788.029
93,80,632
94,80,1097.9713
95,80,1200
96,80,1669.9233
97,80,1543.8269
98,80,2058.5805
99,80,1918.8659
100,80,2550.9126
101,80,2324.452
102,80,2994.7165
103,80,2789.6507
104,80,3442.2706
105,80,3153.9079
106,80,3969.8802
107,80,3692.6241
108,80,4458.5419
109,80,4544.0345
110,80,5077.6379
111,80,5047.2799
112,80,5502.5417
113,80,5578.9523
114,80,6068.0937
115,80,6090.3633
116,80,6547.8541
117,80,6690.4843
118,80,7103.535
119,80,7254.2447
120,80,7698.4863
121,80,7711.4066
122,80,8233.5752
123,80,8205.1921
124,80,8835.6752
125,80,9187
126,80,9664
127,80,9586
128,80,9914
129,80,9988
130,80,10359
131,80,10359
95,81,-1265.1999
96,81,-1155.5646
97,81,-874
98,81,-756.7428
99,81,-253.5144
100,81,-162.793
101,81,-44.943
102,81,299.3471
103,81,367.6707
104,81,701.9286
105,81,988.2601
106,81,1194.5043
107,81,1506.8648
108,81,1706.7253
109,81,2028.8287
110,81,2201.2968
111,81,2569.3709
112,81,2754.7085
113,81,3164.3036
114,81,3260.3111
115,81,3772.2275
116,81,3817.2488
117,81,4277.4931
118,81,4394.0526
119,81,4790.1318
120,81,4966.4821
121,81,5606.8609
122,81,5704.9706
123,81,6365.8379
124,81,6419.6254
125,81,7254.546
126,81,7377.6797
127,81,7551.646
128,81,7668.3562
129,81,7926
130,81,8067
131,81,8450
132,81,8525
133,81,9024
134,81,9029
135,81,9528
136,81,9550
96,82,375.497
97,82,624
98,82,960.4078
99,82,1009.1638
100,82,1314.7783
101,82,1541.7659
102,82,1753.296
103,82,1946.8274
104,82,2212.1237
105,82,2392.9863
106,82,2655.4034
107,82,2796.5875
108,82,3089.4725
109,82,3213.9788
110,82,3557.8662
111,82,3645.9771
112,82,4019.6187
113,82,4089.5129
114,82,4481.9136
115,82,4537.7577
116,82,5002.192
117,82,4991.9527
118,82,5480.4318
119,82,5512.7766
120,82,6048.8007
121,82,6095.0347
122,82,6637.477
123,82,6713.0633
124,82,7253.6752
125,82,7487.646
126,82,8003.0539
127,82,8153.4241
128,82,8372.6074
129,82,8534.9874
130,82,8759.9015
131,82,8942
132,82,9255.8009
133,82,9411
134,82,9810
135,82,9899
136,82,10319
137,82,10380
101,83,-1546
102,83,-1527
103,83,-1106.743
104,83,-1008.6509
105,83,-503.1838
106,83,-457.3896
107,83,40.8574
108,83,111.7154
109,83,532.2645
110,83,621.6887
111,83,1082.7362
112,83,1106.6716
113,83,1559.964
114,83,1627.9321
115,83,1917.437
116,83,2019.1448
117,83,2427.8101
118,83,2467.1193
119,83,2768.7925
120,83,2873.2561
121,83,3148.4152
122,83,3244.7253
123,83,3547.0096
124,83,3558.0192
125,83,3707.1536
126,83,3799.0408
127,83,4466.3022
128,83,4419.6582
129,83,4913.9019
130,83,4971.7122
131,83,5286.1532
132,83,5476.6804
133,83,5757.2281
134,83,6069
135,83,6333
136,83,6599
137,83,6949
138,83,7219
102,84,952
103,84,1319.6659
104,84,1450.0734
105,84,1516.1663
106,84,1787.0154
107,84,1761.7963
108,84,2116.1033
109,84,2079.7363
110,84,2409.0246
111,84,2382.6057
112,84,2732.1357
113,84,2673.017
114,84,3075.0538
115,84,3153.949
116,84,3433.0381
117,84,3439.5636
118,84,3801.5344
119,84,3848.9356
120,84,4105.1234
121,84,4164.4426
122,84,4412.07
123,84,4406.4708
124,84,4703.6238
125,84,4784.8348
126,84,4983.442
127,84,4929.5587
128,84,5799.2633
129,84,5824.547
130,84,6527.2727
131,84,6629.9619
132,84,7135.9072
133,84,7279.5065
134,84,7662.2821
135,84,7823.6487
136,84,8345
137,84,8475
138,84,9003
139,84,9160
140,84,9619
141,84,9779
106,85,-1137.6502
107,85,-705.5014
108,85,-710.1892
109,85,-319.8413
110,85,-245.3468
111,85,85.4914
112,85,175.4946
113,85,604.6394
114,85,639.0701
115,85,1038.0359
116,85,1136.7291
117,85,1362.9113
118,85,1510.009
119,85,1853.4039
120,85,1932.4446
121,85,2206.9607
122,85,2327.7845
123,85,2613.1718
124,85,2703.5369
125,85,2895.0556
126,85,2983.1025
127,85,3484.6275
128,85,3499.0843
129,85,4014.6038
130,85,4075.5822
131,85,4490.5224
132,85,4676.7087
133,85,5072.2052
134,85,5249.6015
135,85,5594.5833
136,85,5769.7042
137,85,6109.6995
138,85,6347.2305
139,85,6656
140,85,6900
141,85,7209
142,85,7407
143,85,7690
107,86,1171.7925
108,86,1497.0241
109,86,1522.1963
110,86,1843.5029
111,86,1865.4279
112,86,2164.0358
113,86,2140.0709
114,86,2466.0481
115,86,2408.4901
116,86,2774.0901
117,86,2877.9094
118,86,3096.4795
119,86,3123.4838
120,86,3437.3703
121,86,3484.3248
122,86,3716.8786
123,86,3760.1193
124,86,4009.962
125,86,4072.2015
126,86,4300.9992
127,86,4356.7711
128,86,5029.1135
129,86,5078.8095
130,86,5779.0752
131,86,5887.083
132,86,6466.1558
133,86,6559.8519
134,86,7072.9988
135,86,7193.3653
136,86,7699.7433
137,86,7852.261
138,86,8271.8808
139,86,8465.846
140,86,8841
141,86,9063
142,86,9476
143,86,9807
144,86,10009
110,87,-989.8278
111,87,-778.3588
112,87,-712.7369
113,87,-404.4538
114,87,-300.0562
115,87,80.0205
116,87,137.9981
117,87,497.6179
118,87,628.6719
119,87,826.0658
120,87,1005.0735
121,87,1319.1572
122,87,1415.726
123,87,1691.4299
124,87,1824.5216
125,87,2049.6396
126,87,2183.9513
127,87,2551.3493
128,87,2651.1696
129,87,3148.959
130,87,3227.6206
131,87,3888.0971
132,87,3889.4455
133,87,4635.9766
134,87,4623.7135
135,87,5382.2222
136,87,5278.5987
137,87,5930.0951
138,87,5913.4675
139,87,6302.5747
140,87,6353.7196
141,87,6790.5844
142,87,6864.184
143,87,7164.6024
144,87,7378
145,87,7766
113,88,1485.7327
114,88,1802.6441
115,88,1789.1782
116,88,2104.2862
117,88,2092.4265
118,88,2413.5416
119,88,2528.1242
120,88,2712.0168
121,88,2765.803
122,88,3063.9883
123,88,3113.593
124,88,3347.4193
125,88,3427.4155
126,88,3642.0311
127,88,3798.6492
128,88,4315.6423
129,88,4370.4574
130,88,4958.0776
131,88,4954.5585
132,88,5633.8188
133,88,5807.426
134,88,6246.017
135,88,6433.8292
136,88,6845.4679
137,88,7044.5419
138,88,7441.9973
139,88,7632.0467
140,88,8031.222
141,88,8111.2295
142,88,8440.9186
143,88,8559.2515
144,88,8872.5907
145,88,9027.7436
146,88,9278.3941
116,89,-756.6203
117,89,-391.9296
118,89,-291.6441
119,89,42.1045
120,89,172.018
121,89,383.1324
122,89,588.3246
123,89,821.2411
124,89,949.1789
125,89,1201.2566
126,89,1351.1613
127,89,1671.2295
128,89,1878.1162
129,89,2327.6618
130,89,2364.9742
131,89,2939.0686
132,89,3030.0139
133,89,3631.0507
134,89,3784.1214
135,89,4288.0683
136,89,4477.4986
137,89,4972.8137
138,89,5107.0318
139,89,5571.7809
140,89,5539.2291
141,89,6012.5476
142,89,6042.4239
143,89,6351.0361
144,89,6477.8889
145,89,6781.8383
146,89,6862.4403
147,89,7198
118,90,1747.158
119,90,1655
120,90,2074.3369
121,90,2176.6538
122,90,2321.5699
123,90,2468.4634
124,90,2735.0689
125,90,2800.8093
126,90,3020.9843
127,90,3232.9273
128,90,3624.5453
129,90,3677.0361
130,90,4168.9866
131,90,4092.8006
132,90,4616.9806
133,90,4525.3665
134,90,5118.4454
135,90,5212.926
136,90,5728.6268
137,90,5793.413
138,90,6367.5865
139,90,6598.1079
140,90,7116.3955
141,90,7311.5467
142,90,7605.1141
143,90,7711.7517
144,90,7984.0503
145,90,8112.4119
146,90,8390.9286
147,90,8554.8715
148,90,8784
120,91,-703.7339
121,91,-431.1556
122,91,-254.3369
123,91,-50.8161
124,91,179.3655
125,91,386.6061
126,91,532.7599
127,91,845.1831
128,91,1072.4945
129,91,1473.3539
130,91,1603.5718
131,91,2164.5359
132,91,2154.3956
133,91,2812.0219
134,91,2927.9116
135,91,3565.5642
136,91,3656.2496
137,91,4170.1312
138,91,4163.0224
139,91,4700.9452
140,91,4727.1449
141,91,5158.2329
142,91,5246.2706
143,91,5681.7435
144,91,5613.0285
145,91,5972.7699
146,91,6016.5501
147,91,6350.025
148,91,6477
149,91,6779
123,92,1859.5538
124,92,2027.079
125,92,2142
126,92,2449.0643
127,92,2642.5859
128,92,2859
129,92,3047.3723
130,92,3391.0742
131,92,3308.0539
132,92,3883.895
133,92,3779.3211
134,92,4316.8136
135,92,4277.5372
136,92,4899.3409
137,92,5001.95
138,92,5570.8024
139,92,5656.5624
140,92,6103.8636
141,92,6316.4087
142,92,6633.422
143,92,6709.0586
144,92,7133.2898
145,92,7232.7929
146,92,7508.8625
147,92,7610.3463
148,92,7911
149,92,8102
150,92,8410
126,93,-253.3249
127,93,109.9021
128,93,392
129,93,534.326
130,93,903.2222
131,93,1302.0016
132,93,1413.5635
133,93,1844.0954
134,93,2038.7502
135,93,2509
136,93,2707.5944
137,93,3262.9755
138,93,3280.3015
139,93,3735
140,93,3949.8855
141,93,4253.2766
142,93,4390.8863
143,93,4829.6598
144,93,4861.9538
145,93,5224.5068
146,93,5285.6986
147,93,5545.4103
148,93,5689.353
149,93,6069
150,93,6103
151,93,6529
127,94,1834
128,94,2140
129,94,2443
130,94,2667
131,94,3021
132,94,3277
133,94,3336
134,94,3760.1805
135,94,3719
136,94,4158.1788
137,94,4217.0096
138,94,4551.7428
139,94,4597
140,94,4887.5156
141,94,5061.4303
142,94,5430.5071
143,94,5575.4024
144,94,5997.4221
145,94,6155.3486
146,94,6474.6564
147,94,6650.0846
148,94,6887.2102
149,94,6951.286
150,94,7289
151,94,7351
152,94,7744
128,95,-351
129,95,149
130,95,179
131,95,619
132,95,739
133,95,1209
134,95,1216.3663
135,95,1812
136,95,1811
137,95,2178
138,95,2365
139,95,2879
140,95,3014.3552
141,95,3431
142,95,3621
143,95,3959.2119
144,95,4061.7593
145,95,4367.0814
146,95,4479.9549
147,95,4776.0729
148,95,4830.8419
149,95,5164.3972
150,95,5194.575
151,95,5473
152,95,5531
153,95,5936
135,96,2891
136,96,3366
137,96,3415
138,96,3851
139,96,3737
140,96,4060.7531
141,96,4082
142,96,4413
143,96,4563.4303
144,96,4955.1089
145,96,5097.3105
146,96,5419.6075
147,96,5575.049
148,96,6012.1413
149,96,6163.5822
150,96,6572.4762
151,96,6750
152,96,7049
153,96,7101
154,96,7403
136,97,850
137,97,1187
138,97,1241
139,97,1761
140,97,1932
141,97,2320
142,97,2485
143,97,2772
144,97,3033
145,97,3239
146,97,3403.0409
147,97,3757.0814
148,97,3927.0303
149,97,4326.5833
150,97,4416.3616
151,97,4691.0239
152,97,4835.386
153,97,5087.6613
154,97,5050.5774
155,97,5402
156,97,5416
139,98,2892
140,98,3221
141,98,3304
142,98,3550
143,98,3626
144,98,3883
145,98,4051
146,98,4500.5042
147,98,4617.645
148,98,5012.5193
149,98,5146.4905
150,98,5540.5413
151,98,5697.2908
152,98,5964.9679
153,98,6105.9954
154,98,6482.3418
155,98,6522
156,98,6876
157,98,6873
140,99,936
141,99,1265
142,99,1384
143,99,1814
144,99,1929
145,99,2253
146,99,2452
147,99,2855.3207
148,99,2800.8057
149,99,3099
150,99,3352
151,99,3786
152,99,3947.7598
153,99,4129.3418
154,99,4313.0952
155,99,4596.3813
156,99,4541.1293
157,99,4913
158,99,4926
141,100,2294
142,100,2783
143,100,2774
144,100,3072
145,100,3123
146,100,3413
147,100,3435
148,100,3969.5712
149,100,4069
150,100,4392
151,100,4555
152,100,4983.9076
153,100,5238.0329
154,100,5396.936
155,100,5482.6571
156,100,5893.4116
157,100,5884
158,100,6266
159,100,6287
143,101,1008
144,101,928
145,101,1365
146,101,1544
147,101,2014
148,101,2005.8122
149,101,2408.9734
150,101,2394.415
151,101,2780.6612
152,101,2933
153,101,3182
154,101,3349.4234
155,101,3633
156,101,3781.2955
157,101,4188.7585
158,101,4151
159,101,4443
160,101,4476
146,102,2536
147,102,2450
148,102,2904
149,102,2839
150,102,3384.3495
151,102,3397.3932
152,102,3738
153,102,3930
154,102,4307.9942
155,102,4498
156,102,4804
157,102,4899.9399
158,102,5243
159,102,5384
160,102,5766
161,102,5827
148,103,1025
149,103,1601
150,103,1636.8703
151,103,2001.7799
152,103,2064.9774
153,103,2354.3018
154,103,2447
155,103,2754
156,103,2916
157,103,3092
158,103,3341
159,103,3639
160,103,3721
161,103,4043
162,103,4066
149,104,2184
150,104,2611
151,104,2605
152,104,3014.2841
153,104,3169.1855
154,104,3610
155,104,3704
156,104,3992
157,104,4247
158,104,4454
159,104,4638
160,104,4883
161,104,4974
162,104,5386
163,104,5507
150,105,895
151,105,1320
152,105,1356.678
153,105,1647.6568
154,105,1642.2876
155,105,1983
156,105,2129
157,105,2354
158,105,2571
159,105,2784
160,105,2981
161,105,3239
162,105,3411
163,105,3673
164,105,3616
152,106,2147
153,106,2277
154,106,2732.4969
155,106,2957
156,106,3228
157,106,3347
158,106,3616
159,106,3757
160,106,4054
161,106,4223
162,106,4503
163,106,4656
164,106,5006
165,106,5069
153,107,685
154,107,757.0568
155,107,1041.8568
156,107,1162
157,107,1526
158,107,1677
159,107,1979
160,107,2141
161,107,2389
162,107,2611
163,107,2752
164,107,2861
165,107,3119
166,107,3126
167,107,3447
155,108,1863
156,108,2222
157,108,2346
158,108,2544
159,108,2736
160,108,3086
161,108,3502
162,108,3654
163,108,3828
164,108,4143
165,108,4309
166,108,4566
167,108,4559
168,108,4884
169,108,4864
170,108,5169
171,108,5160
156,109,228
157,109,516.5345
158,109,638
159,109,796
160,109,957
161,109,1073
162,109,1301
163,109,1498
164,109,1511
165,109,1807
166,109,1928
167,109,2469
168,109,2466
169,109,2897
170,109,2924
171,109,3279
172,109,3309
157,110,1082
158,110,1432
159,110,1605
160,110,1907
161,110,2046
162,110,2306
163,110,2485
164,110,2874
165,110,2872
166,110,3516
167,110,3509
168,110,4046
169,110,4032
170,110,4554
171,110,4526
172,110,4899
173,110,4915
161,111,468
162,111,487
163,111,962
164,111,1091
165,111,1568
166,111,1421
167,111,1861
168,111,1818
169,111,2427
170,111,2276
171,111,2820
172,111,2699
173,111,3148
174,111,3019
164,112,2324
165,112,2343
166,112,2854
167,112,2789
168,112,3356
169,112,3228
170,112,3796
171,112,3694
172,112,4254
173,112,4173
174,112,4569
175,112,4429
165,113,592
166,113,671
167,113,1070
168,113,1133
169,113,1507
170,113,1552
171,113,2035
172,113,1936
173,113,2419
174,113,2284
175,113,2689
176,113,2669
170,114,3073
171,114,2948
172,114,3451
173,114,3317
174,114,3827
175,114,3793
176,114,4109
177,114,4104
172,115,1147
173,115,1552
174,115,1523
175,115,1963
176,115,1840
177,115,2189
173,116,2498
174,116,2944
175,116,2837
176,116,3336
177,116,3321
174,117,663
175,117,912
176,117,994
177,117,1460
175,118,2108
176,118,2397
177,118,2317
